type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
,Demansia rufescens,STORR 1978,,E: Rufous Whipsnake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13267,
,Demansia shinei,SHEA 2007,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13268,
,Demansia simplex,STORR 1978,,E: Grey Whipsnake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13269,
,Demansia torquata,(GÜNTHER 1862),,"E: Collared Whipsnake, Collared Whip Snake","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13270,
,Demansia vestigiata,(DE VIS 1884),,E: Black whip snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13271,
,Dendragama australis,"HARVEY, SHANEY, SIDIK, KURNIAWAN & SMITH 2017",,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",20969,
x,Dendragama boulengeri,DORIA 1888,,E: Boulenger's Tree Agama,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",13272,
,Dendragama dioidema,"HARVEY, SHANEY, SIDIK, KURNIAWAN & SMITH 2017",,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",20972,
,Dendragama schneideri,(AHL 1926),,E: Schneider’s Tree Agama,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",23390,
,Dendrelaphis andamanensis,(ANDERSON 1871),,"E: Andaman Bronze-back
G: Andamanen-Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13273,
,Dendrelaphis ashoki,VOGEL & VAN ROOIJEN 2011,,E: Ashok’s bronzeback tree snake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13274,
,Dendrelaphis bifrenalis,(BOULENGER 1890),,E: Boulenger's Bronzeback,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13275,
,Dendrelaphis biloreatus,WALL 1908,,"E: Gore's Bronzeback
Chinese: 喜山过树蛇","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13276,
,Dendrelaphis calligaster,(GÜNTHER 1867),,"E: Green treesnake, Nothern Tree Snake
G: Nördliche Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13277,
x,Dendrelaphis caudolineatus,(GRAY 1834),,"E: Gray Bronzeback, Striped Bronzeback
G: Gestreifte Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13278,
,Dendrelaphis caudolineolatus,(GÜNTHER 1869),,,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13279,
,Dendrelaphis chairecacos,(BOIE 1827),,,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13280,
,Dendrelaphis cyanochloris,(WALL 1921),,"E: Wall's Bronzeback
G: Blaue Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13281,
,Dendrelaphis effrenis,(WERNER 1909),,"Sinhala: Sinharaja haldanda
Tamil: Sinharaja komberi muken
E: Sinharaja tree snake","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",20902,
,Dendrelaphis flavescens,GAULKE 1994,,"E: Sulu Bronzeback, Sulu Islands Tree Snake
G: Sulu-Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13282,
,Dendrelaphis formosus,(BOIE 1827),,"E: Elegant Bronzeback
G: Elegante Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13283,
,Dendrelaphis fuliginosus,GRIFFIN 1909,,E: Philippine Lamp-black Tree Snake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13284,
,Dendrelaphis gastrostictus,(BOULENGER 1894),,E: Montane treesnake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13285,
,Dendrelaphis girii,VOGEL & VAN ROOIJEN 2011,,E: Giri’s bronzeback ,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13286,
,Dendrelaphis grandoculis,(BOULENGER 1890),,"E: Large-eyed Bronzeback, Southern Bronzeback","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13287,
,Dendrelaphis grismeri,VOGEL & VAN ROOIJEN 2008,,,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13288,
,Dendrelaphis haasi,VAN ROOIJEN & VOGEL 2008,,E: Haas’s Bronzeback snake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13289,
,Dendrelaphis hollinrakei,LAZELL 2002,,Chinese: 香港过树蛇,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13290,
,Dendrelaphis humayuni,TIWARI & BISWAS 1973,,E: Tiwar's Bronzeback,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13291,
,Dendrelaphis inornatus,BOULENGER 1897,,"Lesser Sundas Bronzeback (inornatus: Western ..., timoriensis: Eastern ...)","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13292,
,Dendrelaphis keiensis,(MERTENS 1926),,"E: Kei treesnake
G: Kei-Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",20264,
,Dendrelaphis kopsteini,VOGEL & VAN ROOIJEN 2007,,E: Kopstein’s Bronzeback Snake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13293,
,Dendrelaphis levitoni,VAN ROOIJEN & VOGEL 2012,,E: Leviton’s Bronze-back Tree Snake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13294,
,Dendrelaphis lineolatus,(JACQUINOT & GUICHENOT 1853),,,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",20266,
,Dendrelaphis lorentzii,(LIDTH DE JEUDE 1911),,E: Lorentz River treesnake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13295,
,Dendrelaphis luzonensis,LEVITON 1961,,E: Luzon Bronze-back Tree Snake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13296,
,Dendrelaphis macrops,(GÜNTHER 1877),,,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13475,
,Dendrelaphis marenae,VOGEL & VAN ROOIJEN 2008,,E: Maren’s Bronzeback,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13297,
,Dendrelaphis modestus,BOULENGER 1894,,"E: Gray Bronzeback, Striped Bronzeback
G: Gestreifte Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13298,
,Dendrelaphis ngansonensis,(BOURRET 1935),,"E: Nganson Bronzeback
Chinese: 银山过树蛇","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13299,
,Dendrelaphis nigroserratus,"VOGEL, VAN ROOIJEN & HAUSER 2012",,E: Saw-tooth-necked Bronzeback,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13300,
,Dendrelaphis oliveri,(TAYLOR 1950),,E: Oliver's Bronzeback,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13301,
,Dendrelaphis papuensis,BOULENGER 1895,,E: Papuan treesnake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13302,
,Dendrelaphis philippinensis,(GÜNTHER 1879),,E: Philippine Bronze-back Tree Snakeweinell,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13303,
,Dendrelaphis pictus,(GMELIN 1789),,"E: Common Bronze-back, Painted Bronzeback, Indonesian Bronze-back
G: Gefleckte Bronzenatter, Gemeine Bronzenatter
Chinese: 过树蛇","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13304,
,Dendrelaphis punctulatus,(GRAY 1826),,"E: Green Tree Snake, Common Tree Snake
G: Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13305,
,Dendrelaphis schokari,(KUHL 1820),,,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13307,
,Dendrelaphis striatus,(COHN 1905),,"E: Banded Bronzeback
G: Gebänderte Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13308,
,Dendrelaphis striolatus,(PETERS 1867),,,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",20265,
,Dendrelaphis subocularis,(BOULENGER 1888),,"E: Mountain Bronzeback, Burmese Bronzeback
G: Birmesische Bronzenatter
Chinese: 八莫过树蛇","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13309,
,Dendrelaphis terrificus,(PETERS 1872),,E: Terrific Bronzeback,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13310,
,Dendrelaphis tristis,(DAUDIN 1803),,"E: Daudin's Bronzeback, Common Bronzeback Tree Snake
G: Baum-Bronzenatter","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13311,
,Dendrelaphis underwoodi,VAN ROOIJEN & VOGEL 2008,,E: Underwood’s Bronzeback snake,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13312,
,Dendrelaphis vogeli,"JIANG, GUO, REN & LI 2020",,"E: Vogel’s Bronzeback
Chinese: 沃氏过树蛇 (Wo Shi Guo Shu She)","Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",22707,
,Dendrelaphis walli,VOGEL & VAN ROOIJEN 2011,,,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13313,
,Dendrelaphis wickrorum,"DANUSHKA, KANISHKA, AMARASINGHE, VOGEL & SENEVIRATNE 2020",,E: Wickramasinghes Bronze-back,"Colubridae, Ahaetuliinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",22927,
,Dendroaspis angusticeps,(SMITH 1849),,"E: Green Mamba
G: Blattgrüne Mamba, Gewöhnliche Mamba","Elapidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13314,
x,Dendroaspis jamesoni,(TRAILL 1843),"Dendroaspis jamesoni jamesoni (TRAILL 1843)
Dendroaspis jamesoni kaimosae LOVERIDGE 1936","E: Jameson’s (Green) Mamba
G: Jameson-Mamba","Elapidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13315,
,Dendroaspis polylepis,GÜNTHER 1864,,"E: Black Mamba
G: Schwarze Mamba","Elapidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13316,
,Dendroaspis viridis,(HALLOWELL 1844),,"E: Western Green Mamba
G: Grüne Mamba","Elapidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13317,
x,Dendrolycus elapoides,(GÜNTHER 1874),"Dendrolycus elapoides angusticinctus (LAURENT 1952)
Dendrolycus elapoides elapoides (GÜNTHER 1874)",E: Cameroon Rainforest Snake,"Lamprophiidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13318,
,Dendrophidion apharocybe,CADLE 2012,,,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13319,
,Dendrophidion atlantica,"FREIRE, CARAMASCHI & GONÇALVES 2010",,E: Atlantic Forest Racer,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13320,
,Dendrophidion bivittatus,"(DUMÉRIL, BIBRON  & DUMÉRIL 1854)",,E: Forest Racer,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13321,
,Dendrophidion boshelli,DUNN 1944,,E: Hoshell's Forest Racer,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13322,
,Dendrophidion brunneum,(GÜNTHER 1858),,E: Günther's Forest Racer,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13323,
,Dendrophidion clarkii,DUNN 1933,,E: Clark's Forest Racer,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13324,
,Dendrophidion crybelum,CADLE 2012,,,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13325,
x,Dendrophidion dendrophis,(SCHLEGEL 1837),,"E: Olive Forest Racer
Portuguese: Boicipó, Caçadora, Cobra-Cipó","Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13326,
,Dendrophidion graciliverpa,CADLE 2012,,,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13327,
,Dendrophidion nuchale,(PETERS 1863),,"E: Peters' Forest Racer
S: Culebra terrestre","Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13328,
,Dendrophidion paucicarinatum,(COPE 1894),,E: Cope's Forest Racer,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13329,
,Dendrophidion percarinatum,(COPE 1893),,"E: South American Forest Racer
G: Gekielte Waldnatter","Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13330,
,Dendrophidion prolixum,CADLE 2012,,,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13331,
,Dendrophidion rufiterminorum,CADLE & SAVAGE 2012,,,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13332,
,Dendrophidion vinitor,SMITH 1941,,"E: Barred Forest Racer
S: Culebra de Barras","Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13333,
x,Dendrosauridion yanesha,"LEHR, MORAVEC, LUNDBERG, KÖHLER, CATENAZZI & ŠMÍD 2019",,"E: Yanesha tree microtegu
Spanish: Lagartija arboricola de Yanesha","Gymnophthalmidae, Cercosaurinae, Sauria, Gymnophthalmoidea, Squamata (lizards)",21861,
,Denisonia devisi,(WAITE & LONGMAN 1920),,"E: De Vis's Banded Snake, De Vis Banded Snake","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13334,
x,Denisonia maculata,(STEINDACHNER 1867),,E: Ornamental Snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13335,
x,Dermatemys mawii,GRAY 1847,,"E: Central American River Turtle
G: Tabasco-Schildkröte
S: Tortuga Blanca","Dermatemydidae, Kinosternoidea, Testudines (turtles)",13336,
x,Dermochelys coriacea,(VANDELLI 1761),,"E: Leatherback Seaturtle, Leatherback Sea Turtle
G: Lederschildkröte
Russian: Кожистая черепаха
S: Laúd
Portuguese: Careba-Gigante, Careba-Mole, Tartaruga-de-Cerro, Tartaruga-de-Couro, Tartaruga-de-Leste, Tartaruga-de-Quilha, Tartaruga-Gigante, Tartaruga-Preta","Dermochelyidae, Chelonioidea, Testudines (turtles)",13337,
x,Diadophis punctatus,(LINNAEUS 1766),"Diadophis punctatus acricus PAULSON 1966
Diadophis punctatus amabilis BAIRD & GIRARD 1853
Diadophis punctatus arnyi KENNICOTT 1859
Diadophis punctatus docilis BAIRD & GIRARD 1853
Diadophis punctatus dugesii VILLADA 1875
Diadophis punctatus edwardsii (MERREM 1820)
Diadophis punctatus modestus BOCOURT 1866
Diadophis punctatus occidentalis BLANCHARD 1923
Diadophis punctatus pulchellus BAIRD & GIRARD 1853
Diadophis punctatus punctatus (LINNAEUS 1766)
Diadophis punctatus regalis BAIRD & GIRARD 1853
Diadophis punctatus similis BLANCHARD 1923
Diadophis punctatus stictogenys COPE 1860
Diadophis punctatus vandenburgii BLANCHARD 1923","E: arnyi : Ringneck Snake
acricus: Key Ringneck Snake
amabilis:  Pacific Ringneck Snake
anthonyi: 
arnyi: Prairie Ringneck Snake
dugesii: 
edwardsii: Northern Ringneck Snake
modestus: San Bernardino Ringneck Snake
occidentalis: Northwestern Ringneck Snake
pulchellus:  Coralbelly Ringneck Snake
punctatus: Southern Ringneck Snake
regalis: Regal Ringneck Snake
similis: San Diego Ringneck Snake
stictogenys: Mississippi Ringneck Snake
vandenburgii: Monterey Ringneck Snake
G: Halsbandnatter, Ringhalsnatter
S: Culebra de Collar","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13338,
,Diaphorolepis laevis,WERNER 1923,,E: Colombian Frog-eating Snake,"Colubridae (Dipsadinae), Diaphorolepidini, 
Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13339,
x,Diaphorolepis wagneri,JAN 1863,,E: Ecuador Frog-eating Snake,"Colubridae (Dipsadinae), Diaphorolepidini, 
Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13340,
,Dibamus alfredi,TAYLOR 1962,,"E: Alfred's Blind Skink, Alfred's Dibamid Lizard
G: Alfreds Schlangenschleiche","Dibamidae, Sauria, Squamata (lizards)",13341,
,Dibamus bogadeki,DAREVSKY 1992,,Chinese: 香港双足蜥 ,"Dibamidae, Sauria, Squamata (lizards)",13342,
,Dibamus booliati,DAS & YAAKOB 2003,,E: Boo Liat’s Blind Lizard,"Dibamidae, Sauria, Squamata (lizards)",13343,
,Dibamus bourreti,ANGEL 1935,,"E: Bourret's Blind Skink
Chinese: 白尾双足蜥 ","Dibamidae, Sauria, Squamata (lizards)",13344,
,Dibamus celebensis,SCHLEGEL 1858,,,"Dibamidae, Sauria, Squamata (lizards)",13345,
,Dibamus dalaiensis,"NEANG, HOLDEN, EASTOE, SENG, ITH & GRISMER 2011",,,"Dibamidae, Sauria, Squamata (lizards)",13346,
,Dibamus deharvengi,INEICH 1999,,,"Dibamidae, Sauria, Squamata (lizards)",13347,
,Dibamus dezwaani,DAS & LIM 2005,,,"Dibamidae, Sauria, Squamata (lizards)",13348,
,Dibamus floweri,"QUAH, ANUAR, GRISMER & GRASSBY-LEWIS 2017",,E: Flower’s blind lizard,"Dibamidae, Sauria, Squamata (lizards)",21128,
,Dibamus greeri,DAREVSKY 1992,,E: Greer's Blind Skink,"Dibamidae, Sauria, Squamata (lizards)",13349,
,Dibamus ingeri,DAS & LIM 2003,,,"Dibamidae, Sauria, Squamata (lizards)",13350,
,Dibamus kondaoensis,"HONDA, OTA, HIKIDA & DAREVSKY 2001",,,"Dibamidae, Sauria, Squamata (lizards)",13351,
,Dibamus leucurus,(BLEEKER 1860),,E: White Blind Skink,"Dibamidae, Sauria, Squamata (lizards)",13352,
,Dibamus manadotuaensis,"KOPPETSCH, BÖHME & KOCH 2019",,,"Dibamidae, Sauria, Squamata (lizards)",21900,
,Dibamus montanus,SMITH 1921,,E: Mountain Blind Skink,"Dibamidae, Sauria, Squamata (lizards)",13353,
,Dibamus nicobaricum,(STEINDACHNER 1867),,,"Dibamidae, Sauria, Squamata (lizards)",13354,
x,Dibamus novaeguineae,DUMÉRIL & BIBRON 1839,,,"Dibamidae, Sauria, Squamata (lizards)",13355,
,Dibamus seramensis,GREER 1985,,E: Seram  Blind Skink,"Dibamidae, Sauria, Squamata (lizards)",13356,
,Dibamus smithi,GREER 1985,,E: Smith's Blind Skink,"Dibamidae, Sauria, Squamata (lizards)",13357,
,Dibamus somsaki,"HONDA, NABHITABHATA, OTA & HIKIDA 1997",,"E: Somsak’s Dibamid Lizard
G: Somsaks Schlangenschleiche","Dibamidae, Sauria, Squamata (lizards)",13358,
,Dibamus taylori,GREER 1985,,E: Taylor's Blind Skink,"Dibamidae, Sauria, Squamata (lizards)",13359,
,Dibamus tebal,DAS & LIM 2009,,,"Dibamidae, Sauria, Squamata (lizards)",13360,
,Dibamus tiomanensis,"DIAZ, LEONG, GRISMER & YAAKOB 2004",,E: Tioman Island Blind Lizard,"Dibamidae, Sauria, Squamata (lizards)",13361,
,Dibamus vorisi,DAS & LIM 2003,,,"Dibamidae, Sauria, Squamata (lizards)",13362,
x,Dicrodon guttulatum,DUMÉRIL & BIBRON 1839,,E: Peru Desert Tegu,"Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",13363,
,Dicrodon heterolepis,(TSCHUDI 1845),,E: Ecuador Desert Tegu,"Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",13364,
,Dicrodon holmbergi,SCHMIDT 1957,,E: Holmberg's Desert Tegu,"Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",13365,
,Dierogekko baaba,"SKIPWITH, JACKMAN, WHITAKER, BAUER & SADLIER 2014",,,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",20231,
,Dierogekko inexpectatus,"BAUER, JACKMAN, SADLIER & WHITAKER 2006",,E: Key New Caledonian Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13366,
,Dierogekko insularis,"BAUER, JACKMAN, SADLIER & WHITAKER 2006",,E: Islands Striped Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13367,
,Dierogekko kaalaensis,"BAUER, JACKMAN, SADLIER & WHITAKER 2006",,E: Kaala Striped Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13368,
,Dierogekko koniambo,"BAUER, JACKMAN, SADLIER & WHITAKER 2006",,E: Koniambo Striped Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13369,
,Dierogekko nehoueensis,"BAUER, JACKMAN, SADLIER & WHITAKER 2006",,E: Néhoué Striped Gekko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13370,
,Dierogekko poumensis,"BAUER, JACKMAN, SADLIER & WHITAKER 2006",,E: Poum Striped Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13371,
,Dierogekko thomaswhitei,"BAUER, JACKMAN, SADLIER & WHITAKER 2006",,E: Taom Striped Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13372,
x,Dierogekko validiclavis,(SADLIER 1988),,E: Bold-striped Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13373,
x,Dieurostus dussumieri,"(DUMÉRIL, BIBRON  & DUMÉRIL 1854)",,"E: Kerala Mud Snake, Dussumier's Water Snake","Homalopsidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",13374,
,Dinarolacerta montenegrina,"LJUBISAVLJEVIC, ARRIBAS, DUKIC  &  CARRANZA 2007",,"E: Prokletije Rock Lizard
G: Mosor-Gebirgseidechse","Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",13375,
x,Dinarolacerta mosorensis,(KOLOMBATOVIC 1886),,"E: Mosor rock lizard.
G: Mosoreidechse, Prokletije-Gebirgseidechse
Serbian: Prokletijski gušter
Croatian: mosorska gušterica","Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",13376,
,Diplodactylus ameyi,COUPER & OLIVER 2016,,E: Eastern Deserts Fat-tailed Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",20387,
,Diplodactylus barraganae,"COUPER, OLIVER & PEPPER 2014",,E: Gulf Fat-tailed gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",20206,
,Diplodactylus bilybara,"COUPER, PEPPER & OLIVER 2014",,E: Western Fat-tailed Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",20207,
,Diplodactylus calcicolus,"HUTCHINSON, DOUGHTY & OLIVER 2009",,E: South Coast Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13377,
,Diplodactylus capensis,"DOUGHTY, OLIVER & ADAMS 2008",,E: Cape Range Stone Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13378,
,Diplodactylus conspicillatus,LUCAS & FROST 1897,,"E: Variable Fat-tailed Gecko, Burrow-plug Gecko","Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13379,
,Diplodactylus custos,"COUPER, OLIVER & PEPPER 2014",,E: Kimberley Fat-tailed gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",20208,
,Diplodactylus fulleri,STORR 1978,,E: Lake Disappointment Ground Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13380,
,Diplodactylus furcosus,PETERS 1863,,"E: Ranges Stone Gecko, Forked  Gecko","Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13381,
,Diplodactylus galaxias,"DOUGHTY, PEPPER & KEOGH 2010",,E: Northern Pilbara Beak-faced Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13382,
,Diplodactylus galeatus,KLUGE 1963,,E: Helmeted Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13383,
,Diplodactylus granariensis,STORR 1979,"Diplodactylus granariensis granariensis STORR 1979
Diplodactylus granariensis rex STORR 1988","E: Western Stone Gecko, Wheat-belt Stone Gecko SA (granariensis) 
Giant Stone Gecko (rex)","Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13384,
,Diplodactylus hillii,LONGMAN 1915,,E: Northern Fat-tailed gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",20271,
,Diplodactylus kenneallyi,STORR 1988,,E: Kenneally's Gecko,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",13385,
